01. Please indicate ID number from the experiment,02. Please indicate your gender.,03. Please indicate your age group.,04. Please indicate the highest degree you have obtained.,05. Have you ever used any computers?,06. For how long did you use or have been using such system?,07. How many hours per day do you use or have been using such systems?,08. How would you rate your experience with computers? ,09. How would you rate your ability to work with computers? ,10. How would you rate your ability to learn a software package that you never used before? ,"11. How would you rate your ability to use a Browser (e.g. Internet Explorer, Google Chrome, Mozilla Firefox, Safari)? ",12. How would you rate your ability to discuss strengths and weaknesses of various software packages? ,13. To what extent would you agree with the following: could probably learn by myself most of the things I need to know about computers,"14. To what extent would you agree with the following: If I had a problem using a computer, I could solve it by different manners",15. To what extent would you agree with the following: I do not need someone to tell me the best way to use a computer,16. To what extent would you agree with the following: I prefer to learn new computer software package by myself,17. Have you ever used any air quality system?,18. For how long did you use or have been using such systems?,19. How many hours per day do you use or have been using an air quality system?,20. How would you rate your experience with air quality system?,21. How would you rate your ability to work with air quality system?,22. Have you ever used a Tablet device?,23. For how long did you use or have been using such systems?,24. How many hours per day do you use or have been using a Tablet device?,25. How would you rate your experience with Tablet device?,26. How would you rate your ability to work with Tablet device?
13,Male,22 to 25,High school,Yes,3 to 5 years,3 to 5 hours,6,6,6,6,6,6,6,5,5,No,,,,,No,,,,
34,Male,22 to 25,Bachelor's degree,Yes,Over 10 years,1 to 2 hours,7,4,2,6,3,1,2,2,2,No,,,,,No,,,,
51,Female,22 to 25,High school,Yes,1 to 2 years,Less than 1 hour,4,6,4,6,2,5,4,6,5,No,,,,,No,,,,
1,Male,18 to 21,Bachelor's degree,Yes,Over 10 years,6 to 8 hours,7,7,6,6,5,6,6,6,6,No,,,,,Yes,3 to 4 years,,7,7
2,Male,18 to 21,Bachelor's degree,Yes,Over 10 years,6 to 8 hours,7,6,6,6,5,6,6,5,5,No,,,,,Yes,1 to 2 years,Less than 1 hour,6,6
3,Male,18 to 21,Bachelor's degree,Yes,Over 10 years,3 to 5 hours,7,6,6,6,5,7,,6,7,No,,,,,Yes,5 to 6 years,Less than 1 hour,6,6
4,Male,18 to 21,Bachelor's degree,Yes,Over 10 years,3 to 5 hours,6,7,5,6,5,5,5,5,5,No,,,,,Yes,3 to 4 years,Less than 1 hour,5,6
5,Male,22 to 25,Bachelor's degree,Yes,9 to 10 years,6 to 8 hours,7,6,6,7,6,5,7,6,5,No,,,,,Yes,5 to 6 years,1 to 2 hours,7,6
7,Male,18 to 21,Bachelor's degree,Yes,Over 10 years,1 to 2 hours,4,5,6,6,6,6,6,6,6,No,,,,,Yes,3 to 4 years,Less than 1 hour,5,5
9,Male,18 to 21,Bachelor's degree,Yes,Over 10 years,1 to 2 hours,7,6,6,7,6,6,7,7,6,No,,,,,Yes,1 to 2 years,1 to 2 hours,6,6
